Year,BudgetType,HouseholdType,Housing,ChildCare,Food,Transportation,HealthCare,Technology,Miscellaneous,Savings,Taxes,MonthlyTotal,AnnualTotal,HourlyWage
2024,Stability,Single Adult,960,0,673,899,204,114,285,285,534,3954,47448,23.72
2024,Stability,Two Adults,1207,0,1255,1098,562,148,427,427,767,5891,70692,35.35
2024,Stability,Two Adults Two Children,1232,438,2278,1434,774,148,630,630,863,8427,101124,50.56
2024,Stability,Two Adults Two Childcare,1232,1253,1942,1434,774,148,678,678,974,9113,109356,54.68
2024,Survival,Single Adult,728,0,433,361,186,114,182,0,269,2273,27276,13.64
2024,Survival,One Adult One Child,768,201,732,453,526,114,279,0,224,3297,39564,19.78
2024,Survival,One Adult One Childcare,768,537,657,453,526,114,306,0,278,3639,43668,21.83
2024,Survival,Two Adults,768,0,794,536,526,148,277,0,397,3446,41352,20.68
2024,Survival,Two Adults Two Children,965,402,1331,806,702,148,435,0,355,5144,61728,30.86
2024,Survival,Two Adults Two Childcare,965,1146,1174,806,702,148,494,0,486,5921,71052,35.53
2024,Survival,Single Senior,728,0,399,299,497,114,204,0,320,2561,30732,15.37
2024,Survival,Two Seniors,768,0,731,412,994,148,305,0,588,3946,47352,23.68
