Year,County,HouseholdType,Childcare,Food,Rent,Tech,Transportation,Utilities,Healthcare,Taxes,TaxCredits,Misc,Monthly,Annual
2024,Arkansas,Single Adult,0,440,458,114,361,181,186,250,0,174,2164,25968
2024,Arkansas,One Adult One Child,184,743,433,114,453,284,526,425,-211,274,3225,38700
2024,Arkansas,One Adult One Childcare,562,645,433,114,453,284,526,495,-227,302,3587,43044
2024,Arkansas,Two Adults,0,806,433,148,536,284,526,387,0,273,3393,40716
2024,Arkansas,Two Adults Two Children,367,1351,595,148,806,348,702,775,-421,432,5103,61236
2024,Arkansas,Two Adults Two Childcare,1125,1172,595,148,806,348,702,928,-453,490,5861,70332
2024,Arkansas,Single Senior,0,405,458,114,299,181,502,300,0,196,2455,29460
2024,Arkansas,Two Seniors,0,742,433,148,412,284,1003,580,0,302,3904,46848
2024,Ashley,Single Adult,0,446,537,114,361,181,186,269,0,182,2276,27312
2024,Ashley,One Adult One Child,184,753,439,114,453,284,526,429,-211,275,3246,38952
2024,Ashley,One Adult One Childcare,562,654,439,114,453,284,526,499,-227,303,3607,43284
2024,Ashley,Two Adults,0,817,439,148,536,284,526,391,0,275,3416,40992
2024,Ashley,Two Adults Two Children,367,1370,547,148,806,348,702,767,-421,429,5063,60756
2024,Ashley,Two Adults Two Childcare,1125,1188,547,148,806,348,702,919,-453,486,5816,69792
2024,Ashley,Single Senior,0,410,537,114,299,181,516,325,0,206,2588,31056
2024,Ashley,Two Seniors,0,752,439,148,412,284,1031,592,0,307,3965,47580
2024,Baxter,Single Adult,0,466,560,114,361,181,186,279,0,187,2334,28008
2024,Baxter,One Adult One Child,184,788,462,114,453,284,526,442,-211,281,3323,39876
2024,Baxter,One Adult One Childcare,562,684,462,114,453,284,526,513,-227,308,3679,44148
2024,Baxter,Two Adults,0,855,462,148,536,284,526,406,0,281,3498,41976
2024,Baxter,Two Adults Two Children,367,1433,632,148,806,348,702,806,-421,444,5265,63180
2024,Baxter,Two Adults Two Childcare,1125,1243,632,148,806,348,702,956,-453,500,6007,72084
2024,Baxter,Single Senior,0,429,560,114,299,181,477,325,0,206,2591,31092
2024,Baxter,Two Seniors,0,787,462,148,412,284,953,586,0,305,3937,47244
2024,Benton,Single Adult,0,448,777,114,361,181,186,327,0,207,2601,31212
2024,Benton,One Adult One Child,281,758,734,114,453,284,526,530,-227,315,3768,45216
2024,Benton,One Adult One Childcare,833,658,734,114,453,284,526,650,-227,360,4385,52620
2024,Benton,Two Adults,0,822,734,148,536,284,526,464,0,305,3819,45828
2024,Benton,Two Adults Two Children,562,1379,885,148,806,348,702,910,-453,483,5770,69240
2024,Benton,Two Adults Two Childcare,1667,1196,885,148,806,348,702,1154,-453,575,7028,84336
2024,Benton,Single Senior,0,413,777,114,299,181,492,382,0,228,2886,34632
2024,Benton,Two Seniors,0,757,734,148,412,284,984,658,0,332,4309,51708
2024,Boone,Single Adult,0,428,426,114,361,181,186,240,0,170,2106,25272
2024,Boone,One Adult One Child,184,723,428,114,453,284,526,419,-211,271,3191,38292
2024,Boone,One Adult One Childcare,562,628,428,114,453,284,526,489,-227,300,3557,42684
2024,Boone,Two Adults,0,784,428,148,536,284,526,381,0,271,3358,40296
2024,Boone,Two Adults Two Children,367,1315,547,148,806,348,702,752,-421,423,4987,59844
2024,Boone,Two Adults Two Childcare,1125,1141,547,148,806,348,702,907,-453,482,5753,69036
2024,Boone,Single Senior,0,394,426,114,299,181,464,282,0,188,2348,28176
2024,Boone,Two Seniors,0,722,428,148,412,284,928,553,0,292,3767,45204
2024,Bradley,Single Adult,0,448,483,114,361,181,186,257,0,177,2207,26484
2024,Bradley,One Adult One Child,184,758,426,114,453,284,526,426,-211,274,3234,38808
