Year,County,Group,Category,Above,ALICE,Poverty,Households
2024,Arkansas County,Age,25 to 44 Years,1057,532,389,1978
2024,Arkansas County,Age,45 to 64 Years,1482,486,435,2403
2024,Arkansas County,Age,65 Years and Over,965,787,363,2115
2024,Arkansas County,Age,Under 25 Years,66,119,24,209
2024,Arkansas County,HouseholdType,Married With Children,688,102,39,829
2024,Arkansas County,HouseholdType,"Single or Cohabiting, Under 65, no Children",1707,886,483,3076
2024,Arkansas County,HouseholdType,Single-Female-Headed With Children,116,122,280,518
2024,Arkansas County,HouseholdType,Single-Male-Headed With Children,94,27,46,167
2024,Arkansas County,Race,American Indian/Alaska Native,4,33,0,37
2024,Arkansas County,Race,Asian,7,0,0,7
2024,Arkansas County,Race,Black,534,690,532,1756
2024,Arkansas County,Race,Hispanic,74,127,28,229
2024,Arkansas County,Race,Native Hawaiian/Pacific Islander,0,0,0,0
2024,Arkansas County,Race,Two or More Races,73,27,74,174
2024,Arkansas County,Race,White,2877,1358,299,4534
2024,Arkansas County,Total,All,3570,1924,1211,6705
2024,Ashley County,Age,25 to 44 Years,850,369,432,1651
2024,Ashley County,Age,45 to 64 Years,1371,951,561,2883
2024,Ashley County,Age,65 Years and Over,876,1203,493,2572
2024,Ashley County,Age,Under 25 Years,34,75,141,250
2024,Ashley County,HouseholdType,Married With Children,680,90,293,1063
2024,Ashley County,HouseholdType,"Single or Cohabiting, Under 65, no Children",1554,1232,556,3342
2024,Ashley County,HouseholdType,Single-Female-Headed With Children,5,48,279,332
2024,Ashley County,HouseholdType,Single-Male-Headed With Children,16,25,6,47
2024,Ashley County,Race,American Indian/Alaska Native,0,11,0,11
2024,Ashley County,Race,Asian,0,0,0,0
2024,Ashley County,Race,Black,517,957,374,1848
2024,Ashley County,Race,Hispanic,95,158,47,300
2024,Ashley County,Race,Native Hawaiian/Pacific Islander,0,0,0,0
2024,Ashley County,Race,Two or More Races,129,118,50,297
2024,Ashley County,Race,White,2462,1879,762,5103
2024,Ashley County,Total,All,3131,2598,1627,7356
2024,Baxter County,Age,25 to 44 Years,2223,961,846,4030
2024,Baxter County,Age,45 to 64 Years,3222,1905,998,6125
2024,Baxter County,Age,65 Years and Over,3948,3550,938,8436
2024,Baxter County,Age,Under 25 Years,276,288,193,757
