Year,County,GEOID,Households,Poverty,ALICE,Above,ThresholdUnder65,Threshold65Plus
2010,Arkansas,05001,8202,1613,1733,4856,30000,30000
2012,Arkansas,05001,7997,1387,1969,4641,35000,30000
2014,Arkansas,05001,7787,1273,2265,4249,35000,30000
2016,Arkansas,05001,7685,1406,2210,4069,35000,35000
2018,Arkansas,05001,7682,1581,2220,3881,40000,35000
2019,Arkansas,05001,7491,1430,1743,4318,40000,35000
2021,Arkansas,05001,6595,1181,1557,3857,50000,45000
2022,Arkansas,05001,6559,1168,1697,3694,53408,46968
2023,Arkansas,05001,6587,993,1721,3873,52772,47501
2024,Arkansas,05001,6705,1211,1924,3570,51948,46300
2010,Ashley,05003,8876,1613,2123,5140,30000,30000
2012,Ashley,05003,8684,1470,2419,4795,35000,30000
2014,Ashley,05003,8518,1734,2354,4430,35000,30000
2016,Ashley,05003,8338,1698,2292,4348,35000,35000
2018,Ashley,05003,7915,1663,2694,3558,45000,40000
2019,Ashley,05003,7757,1422,2318,4017,45000,40000
2021,Ashley,05003,7239,1461,2472,3306,50000,45000
2022,Ashley,05003,7194,1663,2368,3163,54599,48204
2023,Ashley,05003,7199,1655,2468,3076,54220,49092
2024,Ashley,05003,7356,1627,2598,3131,54127,47580
2010,Baxter,05005,18738,2859,5993,9886,35000,30000
2012,Baxter,05005,17741,3033,5461,9247,35000,30000
2014,Baxter,05005,18237,2790,5614,9833,35000,30000
2016,Baxter,05005,18061,2274,6067,9720,35000,35000
2018,Baxter,05005,18370,2467,5725,10178,40000,35000
2019,Baxter,05005,18435,2347,6206,9882,40000,40000
2021,Baxter,05005,18835,2518,6827,9490,45000,40000
2022,Baxter,05005,19021,2425,7185,9411,49180,44846
2023,Baxter,05005,19289,2725,6996,9568,48827,48221
2024,Baxter,05005,19348,2975,6704,9669,49962,47244
2010,Benton,05007,79186,8324,19779,51083,40000,35000
2012,Benton,05007,84026,10252,18925,54849,40000,35000
2014,Benton,05007,86232,9783,23182,53267,45000,40000
2016,Benton,05007,94494,8418,21803,64273,45000,40000
2018,Benton,05007,100128,8118,24369,67641,50000,40000
2019,Benton,05007,100749,9724,23631,67394,50000,45000
2021,Benton,05007,106553,7482,28853,70218,60000,50000
2022,Benton,05007,112045,7870,28143,76032,62433,53472
2023,Benton,05007,117446,9816,23721,83909,58775,52908
2024,Benton,05007,122269,10376,25261,86632,58857,51708
2010,Boone,05009,14348,2373,4189,7786,35000,30000
2012,Boone,05009,15163,2630,3523,9010,30000,30000
2014,Boone,05009,14855,2495,4003,8357,35000,30000
2016,Boone,05009,14883,2473,4173,8237,35000,35000
2018,Boone,05009,14870,2283,4241,8346,40000,35000
2019,Boone,05009,15034,2139,3951,8944,40000,35000
2021,Boone,05009,15190,2276,4535,8379,45000,40000
2022,Boone,05009,15172,2162,4724,8286,49669,44882
2023,Boone,05009,15232,2211,4729,8292,50552,46532
2024,Boone,05009,15363,2090,4670,8603,51362,45204
2010,Bradley,05011,4877,1205,1240,2432,30000,30000
2012,Bradley,05011,4920,1113,1113,2694,30000,30000
2014,Bradley,05011,4720,1232,1214,2274,35000,30000
2016,Bradley,05011,4550,1088,1200,2262,35000,35000
2018,Bradley,05011,4537,954,1336,2247,40000,35000
2019,Bradley,05011,4419,846,1216,2357,40000,35000
2021,Bradley,05011,3706,816,1318,1572,50000,45000
2022,Bradley,05011,3587,793,1292,1502,57500,45518
2023,Bradley,05011,3600,930,1129,1541,56423,47502
2024,Bradley,05011,3752,980,1211,1561,59832,45418
2010,Calhoun,05013,2123,307,716,1100,35000,25000
2012,Calhoun,05013,2084,299,760,1025,40000,25000
2014,Calhoun,05013,2062,385,627,1050,40000,30000
2016,Calhoun,05013,2079,389,665,1025,40000,35000
