Year,Name,BelowAliceThreshold
2010,Married,46600
2010,Single-Female-Headed,74694
2010,Single-Male-Headed,13533
2012,Married,45714
2012,Single-Female-Headed,70580
2012,Single-Male-Headed,14916
2014,Married,50697
2014,Single-Female-Headed,71172
2014,Single-Male-Headed,17204
2016,Married,48377
2016,Single-Female-Headed,69270
2016,Single-Male-Headed,15945
2018,Married,46241
2018,Single-Female-Headed,68780
2018,Single-Male-Headed,17061
2019,Married,47343
2019,Single-Female-Headed,64225
2019,Single-Male-Headed,17343
2021,Married,50613
2021,Single-Female-Headed,66886
2021,Single-Male-Headed,16092
2022,Married,47631
2022,Single-Female-Headed,62946
2022,Single-Male-Headed,16658
2023,Married,41666
2023,Single-Female-Headed,64120
2023,Single-Male-Headed,16278
2024,Married,40976
2024,Single-Female-Headed,62132
2024,Single-Male-Headed,16390
