Year,Sector,Above,ALICE,Poverty,Total
2024,"Accommodation and Food Services",51567,25055,14855,91477
2024,"Administrative and Support and Waste Management and Remediation Services",33655,12902,4309,50866
2024,"Agriculture Forestry Fishing and Hunting",17240,3635,2030,22905
2024,"Arts Entertainment and Recreation",13140,4391,1793,19324
2024,"Construction",69175,23603,10748,103526
2024,"Educational Services",98979,14963,11490,125432
2024,"Finance and Insurance",50059,5628,1373,57060
2024,"Health Care and Social Assistance",166153,34421,12846,213420
2024,"Information",13981,2086,418,16485
2024,"Management of Companies and Enterprises",2089,92,0,2181
2024,"Manufacturing",139778,24879,10520,175177
2024,"Mining Quarrying and Oil and Gas Extraction",2522,114,109,2745
2024,"Other Services Except Public Administration",54631,14692,6474,75797
2024,"Professional Scientific and Technical Services",52666,5459,2780,60905
2024,"Public Administration",55786,7993,1658,65437
2024,"Real Estate and Rental and Leasing",15640,2428,614,18682
2024,"Retail Trade",131522,33469,16597,181588
2024,"Transportation and Warehousing",51404,12743,4231,68378
2024,"Utilities",15735,1910,164,17809
2024,"Wholesale Trade",28718,5755,339,34812
