Year,Type,GEOID,Label,Households,PovertyHouseholds,ALICEHouseholds,AboveALICEHouseholds,County
2024,Place,0500580,"Alexander city, Arkansas",1213,224,359,630,Saline
2024,Place,0500970,"Alma city, Arkansas",1896,353,409,1134,Crawford
2024,Place,0501060,"Alpena town, Arkansas",169,41,42,86,Boone
2024,Place,0501150,"Altheimer city, Arkansas",187,45,85,57,Jefferson
2024,Place,0501210,"Altus city, Arkansas",318,73,92,153,Franklin
2024,Place,0501360,"Amity city, Arkansas",291,115,83,93,Clark
2024,Place,0501660,"Appleton CDP, Arkansas",133,23,71,39,Pope
2024,Place,0501870,"Arkadelphia city, Arkansas",3502,1078,758,1666,Clark
2024,Place,0501990,"Arkansas City city, Arkansas",230,51,86,93,Desha
2024,Place,0502230,"Armorel CDP, Arkansas",156,1,2,153,Mississippi
2024,Place,0502380,"Ashdown city, Arkansas",1559,350,360,849,Little River
2024,Place,0502470,"Ash Flat city, Arkansas",418,111,136,171,Sharp
2024,Place,0502590,"Atkins city, Arkansas",1039,89,316,634,Pope
2024,Place,0502740,"Augusta city, Arkansas",871,220,202,449,Woodruff
2024,Place,0502860,"Austin city, Arkansas",1427,19,278,1130,Lonoke
2024,Place,0503010,"Avilla CDP, Arkansas",688,0,52,636,Saline
2024,Place,0503040,"Avoca town, Arkansas",250,18,51,181,Benton
2024,Place,0503280,"Bald Knob city, Arkansas",974,177,342,455,White
2024,Place,0503640,"Barling city, Arkansas",2171,285,692,1194,Sebastian
2024,Place,0503970,"Batavia CDP, Arkansas",119,8,38,73,Boone
2024,Place,0504030,"Batesville city, Arkansas",4043,719,1312,2012,Independence
2024,Place,0504090,"Bauxite town, Arkansas",309,35,82,192,Saline
2024,Place,0504180,"Bay city, Arkansas",871,140,221,510,Craighead
2024,Place,0504420,"Bearden city, Arkansas",255,113,52,90,Ouachita
2024,Place,0504600,"Beebe city, Arkansas",3502,622,809,2071,White
2024,Place,0504630,"Bee Branch CDP, Arkansas",101,0,16,85,Van Buren
2024,Place,0504840,"Bella Vista city, Arkansas",13435,589,2786,10060,Benton
2024,Place,0504900,"Bellefonte town, Arkansas",199,50,58,91,Boone
2024,Place,0504960,"Belleville city, Arkansas",211,11,40,160,Yell
2024,Place,0505290,"Benton city, Arkansas",15377,1257,4971,9149,Saline
2024,Place,0505320,"Bentonville city, Arkansas",22589,1459,3259,17871,Benton
2024,Place,0505440,"Bergman town, Arkansas",205,30,55,120,Boone
2024,Place,0505560,"Berryville city, Arkansas",2006,491,748,767,Carroll
2024,Place,0505920,"Bigelow town, Arkansas",119,25,36,58,Perry
2024,Place,0506040,"Biggers town, Arkansas",169,41,39,89,Randolph
2024,Place,0506700,"Black Rock city, Arkansas",325,99,64,162,Lawrence
2024,Place,0507330,"Blytheville city, Arkansas",5792,1442,1557,2793,Mississippi
2024,Place,0507540,"Bonanza city, Arkansas",215,27,49,139,Sebastian
2024,Place,0507630,"Bono city, Arkansas",955,149,297,509,Craighead
2024,Place,0507720,"Booneville city, Arkansas",1596,284,510,802,Logan
2024,Place,0508260,"Bradford city, Arkansas",214,66,65,83,White
2024,Place,0508290,"Bradley city, Arkansas",253,76,113,64,Lafayette
2024,Place,0508440,"Branch city, Arkansas",156,32,65,59,Franklin
2024,Place,0508665,"Briarcliff city, Arkansas",111,25,19,67,Baxter
2024,Place,0508950,"Brinkley city, Arkansas",1202,314,407,481,Monroe
2024,Place,0509100,"Brookland city, Arkansas",1756,157,592,1007,Craighead
2024,Place,0509460,"Bryant city, Arkansas",8262,520,2067,5675,Saline
2024,Place,0509550,"Buckner city, Arkansas",117,20,20,77,Lafayette
2024,Place,0509790,"Bull Shoals city, Arkansas",845,131,327,387,Marion
2024,Place,0510300,"Cabot city, Arkansas",10160,1016,2865,6279,Lonoke
2024,Place,0510360,"Caddo Valley town, Arkansas",297,65,64,168,Clark
2024,Place,0510450,"Caldwell town, Arkansas",145,15,51,79,St. Francis
2024,Place,0510570,"Calico Rock city, Arkansas",393,108,197,88,Izard
2024,Place,0510600,"Calion city, Arkansas",161,32,60,69,Union
2024,Place,0510720,"Camden city, Arkansas",4086,839,1259,1988,Ouachita
2024,Place,0510780,"Cammack Village city, Arkansas",415,42,67,306,Pulaski
2024,Place,0510900,"Campbell Station city, Arkansas",150,11,48,91,Jackson
2024,Place,0511410,"Caraway city, Arkansas",462,98,168,196,Craighead
2024,Place,0511500,"Carlisle city, Arkansas",869,120,400,349,Lonoke
2024,Place,0511830,"Carthage city, Arkansas",101,38,36,27,Dallas
2024,Place,0511920,"Cash town, Arkansas",116,34,27,55,Craighead
2024,Place,0512280,"Cave City city, Arkansas",772,160,261,351,Sharp
2024,Place,0512340,"Cave Springs city, Arkansas",1877,42,238,1597,Benton
2024,Place,0512520,"Cedarville city, Arkansas",643,48,204,391,Crawford
2024,Place,0512820,"Centerton city, Arkansas",7858,507,1150,6201,Benton
2024,Place,0512940,"Centerville CDP, Arkansas",183,144,0,39,Yell
2024,Place,0513120,"Central City town, Arkansas",218,15,65,138,Sebastian
2024,Place,0513300,"Charleston city, Arkansas",1040,173,299,568,Franklin
2024,Place,0513450,"Cherokee Village city, Arkansas",2224,374,944,906,Sharp
2024,Place,0513540,"Cherry Valley city, Arkansas",216,55,81,80,Cross
2024,Place,0513750,"Chidester city, Arkansas",112,38,52,22,Ouachita
2024,Place,0513960,"Cincinnati CDP, Arkansas",152,9,18,125,Washington
2024,Place,0513990,"Clarendon city, Arkansas",669,187,202,280,Monroe
2024,Place,0514050,"Clarkedale city, Arkansas",147,3,12,132,Crittenden
2024,Place,0514140,"Clarksville city, Arkansas",3895,1104,1554,1237,Johnson
2024,Place,0514260,"Clinton city, Arkansas",1095,205,364,526,Van Buren
2024,Place,0514500,"Coal Hill city, Arkansas",381,144,125,112,Johnson
2024,Place,0514860,"College Station CDP, Arkansas",101,0,0,101,Pulaski
2024,Place,0514950,"Colt city, Arkansas",175,94,33,48,St. Francis
2024,Place,0515190,"Conway city, Arkansas",27099,4759,7446,14894,Faulkner
2024,Place,0515460,"Corning city, Arkansas",1353,235,400,718,Clay
2024,Place,0515490,"Cotter city, Arkansas",521,76,244,201,Baxter
2024,Place,0515550,"Cotton Plant city, Arkansas",285,176,57,52,Woodruff
2024,Place,0515700,"Cove town, Arkansas",169,43,47,79,Polk
2024,Place,0515940,"Crawfordsville town, Arkansas",152,7,45,100,Crittenden
