Year,Type,GEO id2,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,County
2023,Sub_County,0500190248," Arkansas County,  Arkansas",110,0,34,76,Arkansas County
2023,Sub_County,0500193261," Arkansas County,  Arkansas",3013,544,797,1672,Arkansas County
2023,Sub_County,0500193436," Arkansas County,  Arkansas",125,32,20,73,Arkansas County
2023,Sub_County,0500194221," Arkansas County,  Arkansas",405,47,98,260,Arkansas County
2023,Sub_County,0500194356," Arkansas County,  Arkansas",1562,220,456,886,Arkansas County
2023,Sub_County,0500195126," Arkansas County,  Arkansas",224,6,51,167,Arkansas County
2023,Sub_County,0500195361," Arkansas County,  Arkansas",368,89,71,208,Arkansas County
2023,Sub_County,0500196177," Arkansas County,  Arkansas",197,19,43,135,Arkansas County
2023,Sub_County,0500197244," Arkansas County,  Arkansas",242,24,61,157,Arkansas County
2023,Sub_County,0500391383," Ashley County,  Arkansas",1608,496,606,506,Ashley County
2023,Sub_County,0500392581," Ashley County,  Arkansas",3625,834,1243,1548,Ashley County
2023,Sub_County,0500392631," Ashley County,  Arkansas",236,23,46,167,Ashley County
2023,Sub_County,0500394751," Ashley County,  Arkansas",262,11,70,181,Ashley County
2023,Sub_County,0500395136," Ashley County,  Arkansas",479,127,87,265,Ashley County
2023,Sub_County,0500396156," Ashley County,  Arkansas",153,24,59,70,Ashley County
2023,Sub_County,0500398658," Ashley County,  Arkansas",245,26,114,105,Ashley County
2023,Sub_County,0500398813," Ashley County,  Arkansas",214,45,87,82,Ashley County
2023,Sub_County,0500590293," Baxter County,  Arkansas",187,13,75,99,Baxter County
2023,Sub_County,0500591048," Baxter County,  Arkansas",428,58,124,246,Baxter County
2023,Sub_County,0500591073," Baxter County,  Arkansas",548,16,291,241,Baxter County
2023,Sub_County,0500593236," Baxter County,  Arkansas",1208,269,263,676,Baxter County
2023,Sub_County,0500593721," Baxter County,  Arkansas",878,91,340,447,Baxter County
2023,Sub_County,0500594701," Baxter County,  Arkansas",629,94,182,353,Baxter County
2023,Sub_County,0500594731," Baxter County,  Arkansas",144,3,74,67,Baxter County
2023,Sub_County,0500595056," Baxter County,  Arkansas",188,112,43,33,Baxter County
2023,Sub_County,0500595116," Baxter County,  Arkansas",1267,104,594,569,Baxter County
2023,Sub_County,0500595501," Baxter County,  Arkansas",9657,1346,3665,4646,Baxter County
2023,Sub_County,0500595696," Baxter County,  Arkansas",601,161,92,348,Baxter County
2023,Sub_County,0500596011," Baxter County,  Arkansas",683,149,212,322,Baxter County
2023,Sub_County,0500597888," Baxter County,  Arkansas",718,54,179,485,Baxter County
2023,Sub_County,0500598743," Baxter County,  Arkansas",2003,223,845,935,Baxter County
2023,Sub_County,0500797506," Benton County,  Arkansas",20922,1995,4605,14322,Benton County
2023,Sub_County,0500797542," Benton County,  Arkansas",22255,1286,3827,17142,Benton County
2023,Sub_County,0500797578," Benton County,  Arkansas",22188,2067,6053,14068,Benton County
2023,Sub_County,0500797614," Benton County,  Arkansas",22008,1515,4696,15797,Benton County
2023,Sub_County,0500797650," Benton County,  Arkansas",20294,1632,4299,14363,Benton County
2023,Sub_County,0500990258," Boone County,  Arkansas",491,124,135,232,Boone County
2023,Sub_County,0500990433," Boone County,  Arkansas",834,125,188,521,Boone County
2023,Sub_County,0500990788," Boone County,  Arkansas",139,12,0,127,Boone County
2023,Sub_County,0500991018," Boone County,  Arkansas",400,33,116,251,Boone County
2023,Sub_County,0500991363," Boone County,  Arkansas",372,150,91,131,Boone County
2023,Sub_County,0500992601," Boone County,  Arkansas",1140,171,244,725,Boone County
2023,Sub_County,0500992666," Boone County,  Arkansas",202,0,43,159,Boone County
2023,Sub_County,0500992986," Boone County,  Arkansas",346,58,60,228,Boone County
2023,Sub_County,0500993777," Boone County,  Arkansas",512,56,105,351,Boone County
2023,Sub_County,0500993977," Boone County,  Arkansas",634,21,219,394,Boone County
2023,Sub_County,0500994441," Boone County,  Arkansas",620,74,53,493,Boone County
2023,Sub_County,0500994736," Boone County,  Arkansas",315,12,114,189,Boone County
2023,Sub_County,0500995706," Boone County,  Arkansas",3711,488,1677,1546,Boone County
2023,Sub_County,0500995796," Boone County,  Arkansas",122,9,21,92,Boone County
2023,Sub_County,0500995801," Boone County,  Arkansas",840,220,161,459,Boone County
2023,Sub_County,0500996199," Boone County,  Arkansas",116,9,28,79,Boone County
2023,Sub_County,0500997129," Boone County,  Arkansas",3192,545,1022,1625,Boone County
2023,Sub_County,0500997309," Boone County,  Arkansas",919,97,371,451,Boone County
2023,Sub_County,0500997364," Boone County,  Arkansas",170,0,42,128,Boone County
2023,Sub_County,0500998908," Boone County,  Arkansas",157,7,69,81,Boone County
2023,Sub_County,0501191653," Bradley County,  Arkansas",185,49,87,49,Bradley County
2023,Sub_County,0501194941," Bradley County,  Arkansas",111,0,47,64,Bradley County
2023,Sub_County,0501195956," Bradley County,  Arkansas",2782,771,800,1211,Bradley County
2023,Sub_County,0501198423," Bradley County,  Arkansas",320,90,119,111,Bradley County
2023,Sub_County,0501397518," Calhoun County,  Arkansas",132,28,29,75,Calhoun County
2023,Sub_County,0501397554," Calhoun County,  Arkansas",200,9,109,82,Calhoun County
2023,Sub_County,0501397590," Calhoun County,  Arkansas",148,15,48,85,Calhoun County
2023,Sub_County,0501397626," Calhoun County,  Arkansas",221,26,51,144,Calhoun County
2023,Sub_County,0501397662," Calhoun County,  Arkansas",196,23,41,132,Calhoun County
2023,Sub_County,0501397686," Calhoun County,  Arkansas",215,35,47,133,Calhoun County
2023,Sub_County,0501397710," Calhoun County,  Arkansas",116,14,21,81,Calhoun County
2023,Sub_County,0501397734," Calhoun County,  Arkansas",251,18,126,107,Calhoun County
2023,Sub_County,0501397758," Calhoun County,  Arkansas",105,43,46,16,Calhoun County
2023,Sub_County,0501591538," Carroll County,  Arkansas",4093,649,1428,2016,Carroll County
2023,Sub_County,0501595691," Carroll County,  Arkansas",1612,217,415,980,Carroll County
2023,Sub_County,0501597114," Carroll County,  Arkansas",1687,480,442,765,Carroll County
2023,Sub_County,0501598633," Carroll County,  Arkansas",3714,518,1219,1977,Carroll County
2023,Sub_County,0501790883," Chicot County,  Arkansas",999,418,244,337,Chicot County
2023,Sub_County,0501791343," Chicot County,  Arkansas",1788,221,549,1018,Chicot County
2023,Sub_County,0501796071," Chicot County,  Arkansas",1132,403,418,311,Chicot County
2023,Sub_County,0501991208," Clark County,  Arkansas",8147,1782,2243,4122,Clark County
2023,Sub_County,0502190463," Clay County,  Arkansas",144,16,47,81,Clay County
2023,Sub_County,0502190913," Clay County,  Arkansas",301,74,50,177,Clay County
2023,Sub_County,0502190998," Clay County,  Arkansas",134,17,25,92,Clay County
2023,Sub_County,0502191198," Clay County,  Arkansas",155,20,32,103,Clay County
2023,Sub_County,0502191548," Clay County,  Arkansas",182,17,71,94,Clay County
2023,Sub_County,0502191793," Clay County,  Arkansas",1001,194,347,460,Clay County
2023,Sub_County,0502192551," Clay County,  Arkansas",676,149,268,259,Clay County
2023,Sub_County,0502193106," Clay County,  Arkansas",688,100,232,356,Clay County
2023,Sub_County,0502195721," Clay County,  Arkansas",1066,225,270,571,Clay County
